Name,MIN,MIN Per Game,Point,Rebound,Assist,Steal,FG%,3P%,FT%,Age,Pos
Carlos Boozer,1692,23.83098592,836,482,95,41,49.9,0,62.7,34,PF
Carmelo Anthony,1428,35.7,966,264,122,40,44.4,34.1,79.7,31,SF
Caron Butler,1623,20.80769231,460,196,79,43,40.7,37.9,90.2,35,SF
Cartier Martin,198,8.608695652,36,20,11,3,28.3,18.2,0,31,SF
Chandler Parsons,2186,33.12121212,1037,323,161,69,46.2,38,72,27,SF
Channing Frye,1870,24.93333333,549,293,94,47,39.2,39.3,88.6,32,PF
Charlie Villanueva,678,10.59375,403,149,19,15,41.4,37.6,57.1,,
Chase Budinger,1286,19.19402985,457,198,64,44,43.3,36.4,82.7,27,SF
Chris Andersen,1132,18.86666667,320,299,43,26,58,30.8,66.7,37,C
Chris Bosh,1556,35.36363636,928,310,95,41,46,37.5,77.2,31,C
Chris Copeland,828,16.56,309,111,51,11,36.1,31.1,73.3,31,SF
Chris Douglas-Roberts,103,8.583333333,19,12,4,1,23.8,14.3,100,28,SG
Chris Johnson,527,18.17241379,166,55,15,26,40.3,29.5,87.5,25,SF
Chris Kaman,1398,18.89189189,638,484,65,18,51.5,0,70.6,33,C
Chris Paul,2857,34.84146341,1564,376,838,156,48.5,39.8,90,30,PG
Chuck Hayes,255,8.793103448,50,51,20,10,47.8,0,54.5,32,C
CJ McCollum,973,15.69354839,424,91,64,43,43.6,39.6,69.9,24,SG
CJ Miles,1841,26.3,942,214,75,60,39.8,34.5,80.7,28,SG
CJ Wilcox,101,4.80952381,41,7,8,3,42.1,36.8,100,,
Cleanthony Early,647,16.58974359,210,97,36,24,35.5,26.2,75,24,SF
Clint Capela,90,7.5,32,36,2,1,48.3,0,17.4,21,C
Cody Zeller,1487,23.98387097,472,362,100,34,46.1,100,77.4,,
Cole Aldrich,976,16,338,338,75,37,47.8,0,78.1,27,C
Corey Brewer,2087,26.0875,917,297,173,114,42.6,26.8,74.3,29,SF
Cory Jefferson,531,10.62,183,145,16,10,44.9,13.3,57.4,25,PF
Cory Joseph,1444,18.27848101,535,192,188,46,50.4,36.4,73.4,24,PG
Courtney Lee,2354,30.57142857,777,178,151,75,44.8,40.2,86,30,SG
D.J. Augustin,1964,23.95121951,777,161,353,49,39.9,33.7,86.8,28,PG
Dahntay Jones,123,3.727272727,21,11,2,3,28.6,0,81.8,35,SF
Damian Lillard,2925,35.67073171,1720,378,507,97,43.4,34.3,86.4,25,PG
Damjan Rudez,1047,15.39705882,323,47,53,16,45.2,40.6,69.6,29,SF
Danilo Gallinari,1426,24.16949153,734,218,83,47,40.1,35.5,89.5,27,SF
Danny Granger,613,20.43333333,188,80,17,13,40.1,35.7,75.7,32,SF
Danny Green,2312,28.54320988,946,343,158,101,43.6,41.8,87.4,28,SG
Dante Cunningham,1652,25.03030303,340,256,50,46,45.7,10,61.7,28,PF
Dante Exum,1817,22.15853659,393,131,198,41,34.9,31.4,62.5,20,PG
Darius Miller,43,8.6,2,1,2,1,14.3,0,0,25,SF
Darius Morris,299,7.868421053,83,27,48,9,34,21.2,44.4,24,PG
Darrell Arthur,988,17.03448276,382,171,57,48,40.4,23.6,78,27,PF
Darren Collison,1565,34.77777778,725,143,252,67,47.3,37.3,78.8,28,PG
David Lee,904,18.44897959,388,257,85,31,51.1,0,65.4,32,PF
David Stockton,33,11,8,2,9,2,33.3,50,50,24,PG
David Wear,7,3.5,0,2,1,0,0,0,0,,
David West,1895,28.71212121,769,449,223,48,47.1,20,73.9,35,PF
